node_id,lat,lng,type,name,notes
n88,55.873857,-4.290526,,,
n89,55.873898,-4.290702,,,
n90,55.873911,-4.290818,,,
n91,55.874313,-4.290436,,,
n92,55.874057,-4.289307,,,
n93,55.874112,-4.289609,,,
n94,55.874156,-4.289918,,,
n95,55.874242,-4.290130,,,
n96,55.874339,-4.290756,,,
n97,55.874325,-4.290507,,,
n98,55.873786,-4.290627,,,
n99,55.873783,-4.290652,,,
n100,55.873780,-4.290683,,,
n101,55.873800,-4.290819,,,
n102,55.873250,-4.291086,,,
n103,55.873229,-4.291142,,,
n104,55.873266,-4.291044,,,
n105,55.873401,-4.290764,,,
n106,55.873450,-4.290618,,,
n107,55.873439,-4.290605,,,
n108,55.873805,-4.290852,,,
n109,55.873806,-4.290915,,,
n110,55.873806,-4.290953,,,
n111,55.873025,-4.288117,,,
n112,55.873198,-4.287026,,,
n113,55.873428,-4.288109,,,
n114,55.873002,-4.287952,,,
n115,55.872987,-4.287841,,,
n116,55.872908,-4.287299,,,
n117,55.872897,-4.287252,,,
n118,55.872857,-4.287738,,,
n119,55.869814,-4.294921,,,
n120,55.870289,-4.293446,,,
n121,55.870675,-4.291520,,,
n122,55.870198,-4.289027,,,
n123,55.874133,-4.286505,,,
n124,55.875162,-4.285728,,,
n125,55.871113,-4.293700,,,
n126,55.871114,-4.293536,,,
n127,55.871106,-4.293309,,,
n128,55.871070,-4.292893,,,
n129,55.872121,-4.292652,,,
n130,55.872342,-4.292968,,,
n131,55.872616,-4.292948,,,
n132,55.872715,-4.292941,,,
n133,55.873683,-4.287322,,,
n134,55.873734,-4.287286,,,
n135,55.874000,-4.286430,,,
n136,55.873758,-4.286836,,,
n137,55.873742,-4.286771,,,
n138,55.873590,-4.286734,,,
n139,55.873794,-4.292865,,,
n140,55.873743,-4.292800,,,
n141,55.872233,-4.291120,,,
n142,55.872752,-4.294992,,,
n143,55.872844,-4.294890,,,
n144,55.873747,-4.294083,,,
n145,55.874359,-4.294233,,,
n146,55.873878,-4.294045,,,
n147,55.873930,-4.292403,,,
n148,55.874270,-4.293266,,,
n149,55.874341,-4.293253,,,
n150,55.875099,-4.293857,,,
n151,55.872102,-4.288363,,,
n152,55.871870,-4.288521,,,
n153,55.870128,-4.290928,,,
n154,55.870065,-4.290678,,,
n155,55.869985,-4.290228,,,
n156,55.869872,-4.289664,,,
n157,55.869712,-4.289052,,,
n158,55.869403,-4.287758,,,
n159,55.874483,-4.293464,,,
n160,55.874334,-4.292664,,,
n161,55.872185,-4.290393,,,
n162,55.871407,-4.290973,,,
n163,55.872196,-4.290461,,,
n164,55.872205,-4.289172,,,
n165,55.872404,-4.289069,,,
n166,55.872231,-4.290536,,,
n167,55.872054,-4.290701,,,
n168,55.872700,-4.290909,,,
n169,55.872332,-4.290648,,,
n170,55.874266,-4.292597,,,
n171,55.874227,-4.286847,,,
n172,55.870119,-4.290343,,,
n173,55.870209,-4.289957,,,
n174,55.870075,-4.290132,,,
n175,55.872972,-4.292433,,,
n176,55.872941,-4.292472,,,
n177,55.872757,-4.292725,,,
n178,55.872726,-4.294094,,,
n179,55.872729,-4.294210,,,
n180,55.874444,-4.294311,,,
n181,55.874550,-4.294469,,,
n182,55.871083,-4.291806,,,
n183,55.872723,-4.291275,,,
n184,55.872589,-4.291406,,,
n185,55.869662,-4.287170,,,
n186,55.872264,-4.291010,,,
n187,55.870829,-4.288068,,,
n188,55.871002,-4.289372,,,
n189,55.871056,-4.289346,,,
n190,55.871159,-4.289298,,,
n191,55.871111,-4.289322,,,
n192,55.870879,-4.288047,,,
n193,55.871193,-4.289990,,,
n194,55.871186,-4.289909,,,
n195,55.870986,-4.288003,,,
n196,55.870940,-4.288020,,,
n197,55.870990,-4.288684,,,
n198,55.873427,-4.293030,,,
n199,55.873503,-4.292845,,,
n200,55.872616,-4.293042,,,
n201,55.872630,-4.292034,,,
n202,55.873041,-4.292698,,,
n203,55.872633,-4.294214,,,
n204,55.872631,-4.294099,,,
n205,55.872019,-4.292887,,,
n206,55.870907,-4.290922,,,
n207,55.871353,-4.291658,,,
n208,55.871845,-4.292204,,,
n209,55.872189,-4.293283,,,
n210,55.871973,-4.292980,,,
n211,55.871862,-4.293127,,,
n212,55.874208,-4.292122,,,
n213,55.874386,-4.292140,,,
n214,55.874886,-4.291701,,,
n215,55.872729,-4.285884,,,
n216,55.872698,-4.285710,,,
n217,55.872813,-4.285822,,,
n218,55.872722,-4.285430,,,
n219,55.871155,-4.287176,,,
n220,55.872755,-4.285092,,,
n221,55.872547,-4.285267,,,
n222,55.873462,-4.289795,,,
n223,55.873838,-4.289467,,,
n224,55.873539,-4.290367,,,
n225,55.873543,-4.290392,,,
n226,55.873600,-4.290461,,,
n227,55.873584,-4.290468,,,
n228,55.873456,-4.290626,,,
n229,55.873471,-4.290612,,,
n230,55.873477,-4.290600,,,
n231,55.873492,-4.290565,,,
n232,55.873540,-4.290486,,,
n233,55.873523,-4.290492,,,
n234,55.874136,-4.289797,,,
n235,55.873570,-4.285616,,,
n236,55.870932,-4.293129,,,
n237,55.870440,-4.293700,,,
n238,55.870345,-4.293971,,,
n239,55.870272,-4.294331,,,
n240,55.869989,-4.294897,,,
n241,55.873106,-4.292597,,,
n242,55.870533,-4.294131,,,
n243,55.870459,-4.294544,,,
n244,55.869919,-4.295429,,,
n245,55.872141,-4.294609,,,
n246,55.870883,-4.291180,,,
n247,55.874125,-4.285079,,,
n248,55.872851,-4.287747,,,
n249,55.872884,-4.287915,,,
n250,55.873616,-4.290453,,,
n251,55.870886,-4.294420,,,
n252,55.870937,-4.294474,,,
n253,55.870893,-4.294757,,,
n254,55.870663,-4.294641,,,
n255,55.870802,-4.294341,,,
n256,55.870601,-4.294614,,,
n257,55.870600,-4.294142,,,
n258,55.871123,-4.294675,,,
n259,55.870663,-4.294197,,,
n260,55.873602,-4.293351,,,
n261,55.873509,-4.293561,,,
n262,55.873408,-4.293078,,,
n263,55.873208,-4.292943,,,
n264,55.873348,-4.289910,,,
n265,55.873332,-4.289917,,,
n266,55.873023,-4.291398,,,
n267,55.873041,-4.291356,,,
n268,55.873337,-4.289867,,,
n269,55.873334,-4.289846,,,
n270,55.873173,-4.289853,,,
n271,55.871406,-4.293534,,,
n272,55.872152,-4.294075,,,
n273,55.873484,-4.289985,,,
n274,55.873476,-4.289924,,,
n275,55.873535,-4.290336,,,
n276,55.873490,-4.290028,,,
n277,55.871796,-4.285103,,,
n278,55.871273,-4.289246,,,
n279,55.871099,-4.287951,,,
